[skip navigation]
[ASD Home][Lines Query][Levels Query][List of Spectra][Ground States and Ionization Energies][Bibliography][Help]	NIST Physical Measurement Laboratory
NIST Atomic Spectra Database Lines Data
Mn (all spectra): 3535 Lines of Data Found 

Example of how to reference these results:
Kramida, A., Ralchenko, Yu., Reader, J., and NIST ASD Team (2015). NIST Atomic Spectra Database (ver. 5.3), [Online]. Available: http://physics.nist.gov/asd [2016, September 1]. National Institute of Standards and Technology, Gaithersburg, MD. 
BibTex Citation (new window)
 
Wavelength range: 200 - 800 nm
Wavelength in: vacuum below 200 nm, air between 200 and 2000 nm, vacuum above 2000 nm 
Highest relative intensity: 27000
Query NIST Bibliographic Databases for
Mn (new window)
Mn Energy Levels
Mn Line Wavelengths and Classification
Mn Transition Probabilities
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |                  Observed  |                    Ritz    |   Rel. |    Aki    | Acc. |          Ei           Ek          |             Lower level             |              Upper level              |  gi   gk  |   Type|         TP  |           Line  |
          |                 Wavelength |                 Wavelength |   Int. |    s^-1   |      |        (cm-1)       (cm-1)        |-------------------------------------|---------------------------------------|           |       |        Ref. |           Ref.  |
          |                  Air (nm)  |                  Air (nm)  |   (?)  |           |      |                                   | Conf.                | Term  | J    | Conf.                  | Term  | J    |           |       |             |                 |
Mn II     |                209.259     |                209.26179   |     30 |           |      |    39808.492    -     87580.34    | 3d5.(4D).4s          | b 3D  | 3    | 3d5.(a 2G).4p          | u 3F* | 4    |   7 - 9   |       |             |           L562  |
Mn III    |                209.414     |                            |    300 |           |      |                                   |                      |       |      |                        |       |      |           |       |             |           L457  |
Mn III    |                209.478     |                            |    500 |           |      |                                   |                      |       |      |                        |       |      |           |       |             |           L457  |
          |                            |                            |        |           |      |                                   |                      |       |      |                        |       |      |           |       |             |                 |
Mn II     |                209.7463    |                209.7475    |    200 | 4.6e+07   | D    |    30679.51     -     78340.74    | 3d6                  | a 3H  | 5    | 3d5.(2I).4p            | z 3I* | 6    |  11 - 13  |       |         c88 |           L562  |
Mn III    |                209.793     |                            |    500 |           |      |                                   |                      |       |      |                        |       |      |           |       |             |           L457  |
Mn II     |                209.8301    |                209.8305    |     10 |           |      |    43395.395    -     91037.79    | 3d5.(2D).4s          | c 3D  | 3    | 3d4.(5D).4s.4p.(3P*)   | w 5F* | 4    |   7 - 9   |       |             |           L562  |
Mn II     |                209.917     |                209.9165    |      5 |           |      |    43395.395    -     91018.27    | 3d5.(2D).4s          | c 3D  | 3    | 3d5.(b 2F).4p          | u 3G* | 3    |   7 - 7   |       |             |           L562  |
Mn III    |                209.997     |                            |    500 |           |      |                                   |                      |       |      |                        |       |      |           |       |             |           L457  |
          |                            |                            |        |           |      |                                   |                      |       |      |                        |       |      |           |       |             |                 |
Mn II     |                210.025     |                210.02660   |      8 |           |      |    31514.71     -     79112.62    | 3d6                  | a 3F  | 4    | 3d5.(2I).4p            | z 1H* | 5    |   9 - 11  |       |             |           L562  |
Mn II     |                210.186     |                210.1872    |      5 |           |      |    44521.54     -     92083.09    | 3d5.(2F).4s          | b 3F  | 4    | 3d5.(b 2F).4p          | u 3D* | 3    |   9 - 7   |       |             |           L562  |
Mn II     |                210.250     |                210.24965   |    200 | 9.e+07    | D    |    38901.88     -     86449.30    | 3d6                  | a 1G  | 4    | 3d5.(4F).4p            | 3F*   | 4    |   9 - 9   |       |         c88 |           L562  |
Mn II     |                210.418     |                210.4191    |     10 |           |      |    43528.661    -     91037.79    | 3d5.(4F).4s          | a 5F  | 5    | 3d4.(5D).4s.4p.(3P*)   | w 5F* | 4    |  11 - 9   |       |             |           L562  |
Mn II     |                210.457     |                210.4569    |     30 |           |      |    43537.186    -     91037.79    | 3d5.(4F).4s          | a 5F  | 4    | 3d4.(5D).4s.4p.(3P*)   | w 5F* | 4    |   9 - 9   |       |             |           L562  |
          |                            |                            |        |           |      |                                   |                      |       |      |                        |       |      |           |       |             |                 |
Mn II     |                210.589     |                210.5926    |     20 |           |      |    34762.098    -     82232.10    | 3d6                  | b 3G  | 5    | 3d5.(2F).4p            | y 3G* | 5    |  11 - 11  |       |             |           L562  |
Mn II     |                210.612     |                210.61345   |      5 |           |      |    43131.51     -     90596.81    | 3d6                  | a 1D  | 2    | 3d5.(b 2F).4p          | x 1D* | 2    |   5 - 5   |       |             |           L562  |
Mn II     |                210.6760    |                210.6767    |     30 |           |      |    43131.51     -     90582.55    | 3d6                  | a 1D  | 2    | 3d4.(5D).4s.4p.(3P*)   | w 5F* | 2    |   5 - 5   |       |             |           L562  |
Mn II     |                210.697     |                210.6967    |      5 |           |      |    43339.452    -     90786.0     | 3d5.(2D).4s          | c 3D  | 2    | 3d4.(5D).4s.4p.(3P*)   | w 5F* | 3    |   5 - 7   |       |             |           L562  |
Mn II     |                210.806     |                210.8056    |    100 |           |      |    30523.71     -     77945.75    | 3d6                  | a 3H  | 6    | 3d5.(2I).4p            | z 3K* | 7    |  13 - 15  |       |             |           L562  |
          |                            |                            |        |           |      |                                   |                      |       |      |                        |       |      |           |       |             |                 |
Mn II     |                210.946     |                210.9454    |      5 |           |      |    43395.395    -     90786.0     | 3d5.(2D).4s          | c 3D  | 3    | 3d4.(5D).4s.4p.(3P*)   | w 5F* | 3    |   7 - 7   |       |             |           L562  |
Mn I      |                210.958     |                            |   1700 |           |      |                                   |                      |       |      |                        |       |      |           |       |             |          L3475  |
