[skip navigation]
[ASD Home][Lines Query][Levels Query][List of Spectra][Ground States and Ionization Energies][Bibliography][Help]	NIST Physical Measurement Laboratory
NIST Atomic Spectra Database Lines Data
Sr (all spectra): 1069 Lines of Data Found 

Example of how to reference these results:
Kramida, A., Ralchenko, Yu., Reader, J., and NIST ASD Team (2015). NIST Atomic Spectra Database (ver. 5.3), [Online]. Available: http://physics.nist.gov/asd [2016, September 1]. National Institute of Standards and Technology, Gaithersburg, MD. 
BibTex Citation (new window)
 
Wavelength range: 200 - 800 nm
Wavelength in: vacuum below 200 nm, air between 200 and 2000 nm, vacuum above 2000 nm 
Highest relative intensity: 29000
Query NIST Bibliographic Databases for
Sr (new window)
Sr Energy Levels
Sr Line Wavelengths and Classification
Sr Transition Probabilities
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |               Observed  |                   Ritz    |   Rel. |    Aki    | Acc. |        Ei           Ek         |              Lower level               |              Upper level               |  gi   gk  |   Type|         TP  |    Line  |
          |              Wavelength |                Wavelength |   Int. |    s^-1   |      |      (cm-1)       (cm-1)       |----------------------------------------|----------------------------------------|           |       |        Ref. |    Ref.  |
          |               Air (nm)  |                 Air (nm)  |   (?)  |           |      |                                | Conf.                | Term     | J    | Conf.                | Term     | J    |           |       |             |          |
          |                         |                           |        |           |      |                                |                      |          |      |                      |          |      |           |       |             |          |
Sr IV     |             207.9648    |               207.9645    |     24 |           |      | 343266.68     -  391336.49     | 4s2.4p4.(3P).4f      | 4G*      | 7/2  | 4s2.4p4.(3P<1>).5g   | 2[5]     | 9/2  |   8 - 10  |       |             |   L4311  |
Sr IV     |             207.9710    |               207.9713    |     18 |           |      | 335389.12     -  383457.36     | 4s.4d.(3D).4p5.(2P*) | 4P*      | 3/2  | 4s2.4p4.(3P<2>).5g   | 2[2]     | 5/2  |   4 - 6   |       |             |   L4311  |
Sr IV     |             207.9973    |               207.9987    |      1 |           |      | 335389.12     -  383451.04     | 4s.4d.(3D).4p5.(2P*) | 4P*      | 3/2  | 4s2.4p4.(3P<2>).5g   | 2[2]     | 3/2  |   4 - 4   |       |             |   L4311  |
Sr IV     |             208.1649    |               208.1625    |      1 |           |      | 355372.02     -  403396.12     | 4s2.4p4.(1D).4f      | 2F*      | 5/2  | 4s2.4p4.(1D<2>).5g   | 2[3]     | 5/2  |   6 - 6   |       |             |   L4311  |
Sr IV     |             208.1807    |               208.1806    |     20 |           |      | 335431.13     -  383451.04     | 4s2.4p4.(3P).4f      | 4D*      | 1/2  | 4s2.4p4.(3P<2>).5g   | 2[2]     | 3/2  |   2 - 4   |       |             |   L4311  |
          |                         |                           |        |           |      |                                |                      |          |      |                      |          |      |           |       |             |          |
Sr V      |             208.4970    |               208.4964    |     24 |           |      | 311699.75     -  359646.95     | 4s2.4p3.(2P*).5s     | 3P*      | 2    | 4s2.4p3.(2P*).5p     | 3D       | 3    |   5 - 7   |       |             |   L6378  |
Sr IV     |             208.7110    |               208.7110    |     36 |           |      | 335379.10     -  383277.00     | 4s2.4p4.(3P).4f      | 4G*      | 11/2 | 4s2.4p4.(3P<2>).5g   | 2[6]     | 13/2 |  12 - 14  |       |             |   L4311  |
Sr V      |             208.7452    |               208.7452    |     18 |           |      | 338691.84     -  386581.90     | 4s2.4p3.(2D*).5p     | 1F       | 3    | 4s2.4p3.(4S*).5d     | 5D*      | 2    |   7 - 5   |       |             |   L6378  |
Sr V      |             208.8618    |               208.8616    |     24 |           |      | 288831.62     -  336694.99     | 4s2.4p3.(2D*).5s     | 3D*      | 1    | 4s2.4p3.(2D*).5p     | 3D       | 2    |   3 - 5   |       |             |   L6378  |
Sr V      |             209.0604    |               209.0605    |     30 |           |      | 266325.33     -  314143.18     | 4s2.4p3.(4S*).5s     | 5S*      | 2    | 4s2.4p3.(4S*).5p     | 5P       | 2    |   5 - 5   |       |             |   L6378  |
          |                         |                           |        |           |      |                                |                      |          |      |                      |          |      |           |       |             |          |
Sr IV     |             209.1181    |               209.1188    |      8 |           |      | 333030.58     -  380835.09     | 4s2.4p4.(3P<2>).5d   | 2[1]     | 3/2  | 4s2.4p4.(1S).4f      | 2F*      | 5/2  |   4 - 6   |       |             |   L4311  |
Sr IV     |             209.1690    |               209.1690    |     24 |           |      | 329973.93     -  377766.96     | 4s2.4p4.(3P<2>).5d   | 2[4]     | 7/2  | 4s2.4p4.(3P<2>).5f   | 2[5]*    | 9/2  |   8 - 10  |       |             |   L4311  |
Sr V      |             209.2727    |               209.2727    |     14 |           |      | 306075.40     -  353844.75     | 4s2.4p3.(2P*).4d     | 1P*      | 1    | 4s2.4p3.(2P*).5p     | 3D       | 1    |   3 - 3   |       |             |   L6378  |
Sr III    |             209.3081    |               209.3085    |     18 |           |      | 236636.50     -  284397.70     | 4p5.(2P*<1/2>).5p    | 2[3/2]   | 2    | 4p5.(2P*<1/2>).5d    | 2[3/2]*  | 1    |   5 - 3   |       |             |   L1771  |
Sr V      |             209.3555    |               209.3539    |   24bl |           |      | 314735.94     -  362486.77     | 4s2.4p3.(2P*).5s     | 1P*      | 1    | 4s2.4p3.(2P*).5p     | 1D       | 2    |   3 - 5   |       |             |   L6378  |
          |                         |                           |        |           |      |                                |                      |          |      |                      |          |      |           |       |             |          |
Sr IV     |             209.4145    |               209.4144    |      4 |           |      | 343520.46     -  391257.50     | 4s2.4p4.(3P).4f      | 4G*      | 5/2  | 4s2.4p4.(3P<1>).5g   | 2[3]     | 7/2  |   6 - 8   |       |             |   L4311  |
Sr III    |             209.9598    |               209.9552    |   100* |           |      | 227495.38     -  275109.48     | 4p5.(2P*<3/2>).5p    | 2[3/2]   | 1    | 4p5.(2P*<3/2>).5d    | 2[3/2]*  | 1    |   3 - 3   |       |             |   L1771  |
Sr III    |             209.9598    |               209.9623    |   100* |           |      | 177698.19     -  225310.67     | 4p5.(2P*<3/2>).4d    | 2[1/2]*  | 1    | 4p5.(2P*<3/2>).5p    | 2[5/2]   | 2    |   3 - 5   |       |             |   L1771  |
Sr III    |             210.0482    |               210.0485    |     24 |           |      | 221795.40     -  269388.34     | 4p5.(2P*<3/2>).5p    | 2[1/2]   | 1    | 4p5.(2P*<3/2>).6s    | 2[3/2]*  | 1    |   3 - 3   |       |             |   L1771  |
Sr V      |             210.1129    |               210.1130    |     18 |           |      | 289116.66     -  336694.99     | 4s2.4p3.(2D*).5s     | 3D*      | 2    | 4s2.4p3.(2D*).5p     | 3D       | 2    |   5 - 5   |       |             |   L6378  |
          |                         |                           |        |           |      |                                |                      |          |      |                      |          |      |           |       |             |          |
Sr IV     |             210.2486    |               210.2481    |      1 |           |      | 329973.93     -  377521.69     | 4s2.4p4.(3P<2>).5d   | 2[4]     | 7/2  | 4s2.4p4.(3P<2>).5f   | 2[4]*    | 9/2  |   8 - 10  |       |             |   L4311  |
Sr III    |             210.2730    |               210.2732    |     30 |           |      | 236855.60     -  284397.70     | 4p5.(2P*<1/2>).5p    | 2[1/2]   | 1    | 4p5.(2P*<1/2>).5d    | 2[3/2]*  | 1    |   3 - 3   |       |             |   L1771  |
Sr IV     |             210.4042    |               210.4042    |     16 |           |      | 335379.10     -  382891.60     | 4s2.4p4.(3P).4f      | 4G*      | 11/2 | 4s2.4p4.(3P<2>).5g   | 2[5]     | 11/2 |  12 - 12  |       |             |   L4311  |
Sr IV     |             210.4327    |               210.4327    |     36 |           |      | 335779.95     -  383286.02     | 4s2.4p4.(3P).4f      | 2G*      | 9/2  | 4s2.4p4.(3P<2>).5g   | 2[6]     | 11/2 |  10 - 12  |       |             |   L4311  |
Sr IV     |             210.4381    |               210.4375    |     40 |           |      | 228654.17     -  276159.16     | 4s2.4p4.(3P<2>).5s   | 2[2]     | 5/2  | 4s2.4p4.(3P<2>).5p   | 2[2]*    | 3/2  |   6 - 4   |       |             |   L3647  |
          |                         |                           |        |           |      |                                |                      |          |      |                      |          |      |           |       |             |          |
Sr IV     |             210.7050    |               210.7052    |     24 |           |      | 335706.85     -  383151.49     | 4s2.4p4.(3P).4f      | 2F*      | 5/2  | 4s2.4p4.(3P<2>).5g   | 2[3]     | 7/2  |   6 - 8   |       |             |   L4311  |
Sr IV     |             210.7400    |               210.7405    |     20 |           |      | 344417.51     -  391854.19     | 4s2.4p4.(3P).4f      | 2G*      | 7/2  | 4s2.4p4.(3P<0>).5g   | 2[4]     | 9/2  |   8 - 10  |       |             |   L4311  |
Sr V      |             210.8966    |               210.8965    |     30 |           |      | 266325.33     -  313726.94     | 4s2.4p3.(4S*).5s     | 5S*      | 2    | 4s2.4p3.(4S*).5p     | 5P       | 1    |   5 - 3   |       |             |   L6378  |
Sr IV     |             211.0314    |               211.0321    |      4 |           |      | 335780.35     -  383151.49     | 4s2.4p4.(3P).4f      | 2F*      | 7/2  | 4s2.4p4.(3P<2>).5g   | 2[3]     | 7/2  |   8 - 8   |       |             |   L4311  |
Sr IV     |             211.3860    |               211.3858    |     20 |           |      | 344417.51     -  391709.40     | 4s2.4p4.(3P).4f      | 2G*      | 7/2  | 4s2.4p4.(3P<1>).5g   | 2[4]     | 9/2  |   8 - 10  |       |             |   L4311  |
          |                         |                           |        |           |      |                                |                      |          |      |                      |          |      |           |       |             |          |
Sr III    |             211.4306    |               211.4304    |     50 |           |      | 180213.47     -  227495.38     | 4p5.(2P*<3/2>).4d    | 2[3/2]*  | 2    | 4p5.(2P*<3/2>).5p    | 2[3/2]   | 1    |   5 - 3   |       |             |   L1771  |
Sr V      |             211.6305    |               211.6299    |    18w |           |      | 306607.40     -  353844.75     | 4s2.4p3.(2P*).5s     | 3P*      | 0    | 4s2.4p3.(2P*).5p     | 3D       | 1    |   1 - 3   |       |             |   L6378  |
Sr IV     |             211.7617    |               211.7615    |     18 |           |      | 335706.85     -  382914.84     | 4s2.4p4.(3P).4f      | 2F*      | 5/2  | 4s2.4p4.(3P<2>).5g   | 2[4]     | 7/2  |   6 - 8   |       |             |   L4311  |
Sr IV     |             211.7902    |               211.7909    |     40 |           |      | 250503.65     -  297705.09     | 4s2.4p4.(1D<2>).5s   | 2[2]     | 3/2  | 4s2.4p4.(1D<2>).5p   | 2[1]*    | 1/2  |   4 - 2   |       |             |   L3647  |
Sr III    |             211.8476    |               211.8479    |     60 |           |      | 187564.70     -  234753.44     | 4p5.(2P*<3/2>).4d    | 2[5/2]*  | 2    | 4p5.(2P*<1/2>).5p    | 2[3/2]   | 1    |   5 - 3   |       |             |   L1771  |
          |                         |                           |        |           |      |                                |                      |          |      |                      |          |      |           |       |             |          |
Sr III    |             211.9522    |               211.9459    |   100* |           |      | 269810.66     -  316977.60     | 4p5.(2P*<3/2>).5d    | 2[7/2]*  | 4    | 4p5.(2P*<3/2>).6f    | 2[9/2]   | 5    |   9 - 11  |       |             |   L1771  |
