[skip navigation]
[ASD Home][Lines Query][Levels Query][List of Spectra][Ground States and Ionization Energies][Bibliography][Help]	NIST Physical Measurement Laboratory
NIST Atomic Spectra Database Lines Data
Ca (all spectra): 529 Lines of Data Found 

Example of how to reference these results:
Kramida, A., Ralchenko, Yu., Reader, J., and NIST ASD Team (2015). NIST Atomic Spectra Database (ver. 5.3), [Online]. Available: http://physics.nist.gov/asd [2016, September 1]. National Institute of Standards and Technology, Gaithersburg, MD. 
BibTex Citation (new window)
 
Wavelength range: 200 - 800 nm
Wavelength in: vacuum below 200 nm, air between 200 and 2000 nm, vacuum above 2000 nm 
Highest relative intensity: 14000
Query NIST Bibliographic Databases for
Ca (new window)
Ca Energy Levels
Ca Line Wavelengths and Classification
Ca Transition Probabilities
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |               Observed  |                  Ritz    |       Rel. |    Aki    | Acc. |         Ei           Ek         |              Lower level              |              Upper level               |  gi   gk  |   Type|             TP  |      Line  |
          |              Wavelength |               Wavelength |       Int. |    s^-1   |      |       (cm-1)       (cm-1)       |---------------------------------------|----------------------------------------|           |       |            Ref. |      Ref.  |
          |               Air (nm)  |                Air (nm)  |       (?)  |           |      |                                 | Conf.                 | Term    | J   | Conf.                 | Term     | J   |           |       |                 |            |
Ca III    |              217.2710   |               217.2711   |        170 |           |      | 282571.43      -  328582.45     | 3s2.3p5.4p            | 3P      | 1   | 3s2.3p5.(2P*<3/2>).5s | 2[3/2]*  | 1   |   3 - 3   |       |                 |      L262  |
          |                         |                          |            |           |      |                                 |                       |         |     |                       |          |     |           |       |                 |            |
Ca III    |              217.8584   |               217.8586   |       1100 | 4.7e+08   | B    | 282075.15      -  327962.11     | 3s2.3p5.4p            | 3P      | 0   | 3s2.3p5.(2P*<3/2>).4d | 2[3/2]*  | 1   |   1 - 3   |       |             u33 |      L262  |
Ca III    |              218.2014   |               218.2017   |        800 | 3.7e+08   | B    | 290934.30      -  336749.11     | 3s2.3p5.4p            | 1S      | 0   | 3s2.3p5.(2P*<1/2>).4d | 2[3/2]*  | 1   |   1 - 3   |       |             u33 |      L262  |
Ca III    |                         |               218.3031   |          m |           |      | 324660.47      -  370454.0      | 3s2.3p5.(2P*<3/2>).4d | 2[7/2]* | 3   | 3s2.3p5.(2P*<1/2>).6p | 2[3/2]   | 2   |   7 - 5   |       |                 |     L2911  |
Ca III    |              218.6263   |               218.6262   |        250 |           |      | 279741.80      -  325467.67     | 3s2.3p5.4p            | 1D      | 2   | 3s2.3p5.(2P*<3/2>).4d | 2[5/2]*  | 2   |   5 - 5   |       |                 |      L262  |
Ca III    |              219.1209   |               219.12063  |        600 | 3.4e+07   | C    | 277380.86      -  323003.56     | 3s2.3p5.4p            | 3D      | 2   | 3s2.3p5.(2P*<3/2>).4d | 2[1/2]*  | 1   |   5 - 3   |       |             u33 |      L262  |
          |                         |                          |            |           |      |                                 |                       |         |     |                       |          |     |           |       |                 |            |
Ca III    |              219.6169   |               219.6172   |        200 |           |      | 282571.43      -  328090.99     | 3s2.3p5.4p            | 3P      | 1   | 3s2.3p5.(2P*<1/2>).4d | 2[5/2]*  | 2   |   3 - 5   |       |                 |      L262  |
Ca II     |              219.779    |               219.7787   |            | 3.1e+07   | C    |  25191.51      -   70677.62     | 3p6.4p                | 2P*     | 1/2 | 3p6.6s                | 2S       | 1/2 |   2 - 2   |       |           T8043 |     L7323  |
Ca I      |              220.073    |               220.0727   |          5 | 1.53e+07  | C    |      0.000     -   45425.358    | 3p6.4s2               | 1S      | 0   | 3p6.4s.7p             | 1P*      | 1   |   1 - 3   |       |           T793n |     L6097  |
Ca III    |              220.2404   |               220.2408   |        800 | 1.08e+08  | B    | 282571.43      -  327962.11     | 3s2.3p5.4p            | 3P      | 1   | 3s2.3p5.(2P*<3/2>).4d | 2[3/2]*  | 1   |   3 - 3   |       |             u33 |      L262  |
Ca III    |              220.4315   |               220.43139  |       1000 | 8.3e+07   | B    | 282571.43      -  327922.87     | 3s2.3p5.4p            | 3P      | 1   | 3s2.3p5.(2P*<3/2>).5s | 2[3/2]*  | 2   |   3 - 5   |       |             u33 |      L262  |
          |                         |                          |            |           |      |                                 |                       |         |     |                       |          |     |           |       |                 |            |
Ca II     |              220.861    |               220.8611   |            | 6.2e+07   | C    |  25414.40      -   70677.62     | 3p6.4p                | 2P*     | 3/2 | 3p6.6s                | 2S       | 1/2 |   4 - 2   |       |           u7,LS |     L7323  |
Ca VI     |                         |               221.451    |            | 1.2e+01   | C    |      0.0       -   45142.7+x    | 3s2.3p3               | 4S*     | 3/2 | 3s2.3p3               | 2P*      | 3/2 |   4 - 4   | M1    |            T233 |            |
Ca VI     |                         |               221.451    |            | 2.9e-04   | D    |      0.0       -   45142.7+x    | 3s2.3p3               | 4S*     | 3/2 | 3s2.3p3               | 2P*      | 3/2 |   4 - 4   | E2    |            T233 |            |
Ca III    |              221.9851   |               221.98510  |       1000 | 2.0e+07   | C    | 278621.01      -  323655.06     | 3s2.3p5.4p            | 3D      | 1   | 3s2.3p5.(2P*<3/2>).4d | 2[3/2]*  | 2   |   3 - 5   |       |             u33 |      L262  |
Ca III    |              222.5559   |               222.5554   |        160 |           |      | 279741.80      -  324660.47     | 3s2.3p5.4p            | 1D      | 2   | 3s2.3p5.(2P*<3/2>).4d | 2[7/2]*  | 3   |   5 - 7   |       |                 |      L262  |
          |                         |                          |            |           |      |                                 |                       |         |     |                       |          |     |           |       |                 |            |
