[skip navigation]
[ASD Home][Lines Query][Levels Query][List of Spectra][Ground States and Ionization Energies][Bibliography][Help]	NIST Physical Measurement Laboratory
NIST Atomic Spectra Database Lines Data
Ni (all spectra): 972 Lines of Data Found 

Example of how to reference these results:
Kramida, A., Ralchenko, Yu., Reader, J., and NIST ASD Team (2015). NIST Atomic Spectra Database (ver. 5.3), [Online]. Available: http://physics.nist.gov/asd [2016, September 1]. National Institute of Standards and Technology, Gaithersburg, MD. 
BibTex Citation (new window)
 
Wavelength range: 200 - 800 nm
Wavelength in: vacuum below 200 nm, air between 200 and 2000 nm, vacuum above 2000 nm 
Highest relative intensity: 8200
Query NIST Bibliographic Databases for
Ni (new window)
Ni Energy Levels
Ni Line Wavelengths and Classification
Ni Transition Probabilities
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |                Observed  |                   Ritz    |  Rel. |    Aki    | Acc. |           Ei           Ek           |            Lower level             |              Upper level              |  gi   gk  |Type|         TP  |    Line  |
          |               Wavelength |                Wavelength |  Int. |    s^-1   |      |         (cm-1)       (cm-1)         |------------------------------------|---------------------------------------|           |    |        Ref. |    Ref.  |
          |                Air (nm)  |                 Air (nm)  |  (?)  |           |      |                                     | Conf.                | Term | J    | Conf.                | Term    | J    |           |    |             |          |
Ni II     |                          |                 212.8578  |       | 2.48e+07  | B    |    10115.66      -     57080.55     | 3p6.3d8.(3F).4s      | 4F   | 5/2  | 3p6.3d8.(3F).4p      | 2F*     | 7/2  |   6 - 8   |    |      T1024n |          |
          |                          |                           |       |           |      |                                     |                      |      |      |                      |         |      |           |    |             |          |
Ni I      |                          |                 212.9954  |       | 4.2e+06   | C    |      204.787     -     47139.337    | 3d9.(2D).4s          | 3D   | 3    | 3d8.(3P).4s.4p.(3P*) | 3D*     | 2    |   7 - 5   |    |       T3861 |          |
Ni II     |                          |                 213.8582  |       | 1.77e+07  | C+   |     9330.04      -     56075.26     | 3p6.3d8.(3F).4s      | 4F   | 7/2  | 3p6.3d8.(3F).4p      | 4F*     | 5/2  |   8 - 6   |    |      T1024n |          |
Ni I      |                          |                 214.7784  |       | 4.7e+07   | C    |      879.816     -     47424.785    | 3d9.(2D).4s          | 3D   | 2    | 3d8.(3P).4s.4p.(3P*) | 3D*     | 1    |   5 - 3   |    |       T3861 |          |
Ni I      |                          |                 215.1921  |       | 3.2e+06   | C    |     2216.550     -     48672.049    | 3d8.(3F).4s2         | 3F   | 2    | 3d9.(2D).5p          | 1F*     | 3    |   5 - 7   |    |       T3861 |          |
Ni I      |                          |                 215.2223  |       | 3.2e+06   | C    |      879.816     -     47328.784    | 3d9.(2D).4s          | 3D   | 2    | 3d8.(3P).4s.4p.(3P*) | 5S*     | 2    |   5 - 5   |    |       T3861 |          |
          |                          |                           |       |           |      |                                     |                      |      |      |                      |         |      |           |    |             |          |
Ni IV     |                          |                 215.392   |       | 8.5e+00   | E    |    20947.6       -     67360.0      | 3p6.3d7              | 2G   | 7/2  | 3p6.3d7              | 2D1     | 3/2  |   8 - 4   | E2 |       T4605 |          |
Ni I      |                          |                 215.7828  |       | 4.1e+07   | C    |      879.816     -     47208.149    | 3d9.(2D).4s          | 3D   | 2    | 3d8.(3P).4s.4p.(3P*) | 3P*     | 1    |   5 - 3   |    |       T3861 |          |
Ni I      |                          |                 215.8306  |       | 6.9e+07   | C    |      204.787     -     46522.866    | 3d9.(2D).4s          | 3D   | 3    | 3d8.(3P).4s.4p.(3P*) | 3P*     | 2    |   7 - 5   |    |       T3861 |          |
Ni II     |                          |                 215.8737  |       | 3.5e+07   | C    |    10115.66      -     56424.49     | 3p6.3d8.(3F).4s      | 4F   | 5/2  | 3p6.3d8.(3F).4p      | 4F*     | 3/2  |   6 - 4   |    |      T1024n |          |
