[skip navigation]
[ASD Home][Lines Query][Levels Query][List of Spectra][Ground States and Ionization Energies][Bibliography][Help]	NIST Physical Measurement Laboratory
NIST Atomic Spectra Database Lines Data
Cl (all spectra): 481 Lines of Data Found 

Example of how to reference these results:
Kramida, A., Ralchenko, Yu., Reader, J., and NIST ASD Team (2015). NIST Atomic Spectra Database (ver. 5.3), [Online]. Available: http://physics.nist.gov/asd [2016, September 1]. National Institute of Standards and Technology, Gaithersburg, MD. 
BibTex Citation (new window)
 
Wavelength range: 200 - 800 nm
Wavelength in: vacuum below 200 nm, air between 200 and 2000 nm, vacuum above 2000 nm 
Highest relative intensity: 99000
Query NIST Bibliographic Databases for
Cl (new window)
Cl Energy Levels
Cl Line Wavelengths and Classification
Cl Transition Probabilities
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |              Observed  |                Ritz    |   Rel. |    Aki    | Acc. |        Ei           Ek        |          Lower level          |           Upper level           |  gi   gk  |Type|                   TP  |   Line  |
          |             Wavelength |             Wavelength |   Int. |    s^-1   |      |      (cm-1)       (cm-1)      |-------------------------------|---------------------------------|           |    |                  Ref. |   Ref.  |
          |              Air (nm)  |              Air (nm)  |   (?)  |           |      |                               | Conf.            | Term | J   | Conf.              | Term | J   |           |    |                       |         |
Cl III    |                        |              254.075   |        | 8.8e+07   | E    | 209182.8?     -  248529.50    | 3s2.3p2.(3P).4p  | 2P*  | 3/2 | 3s2.3p2.(3P).4d    | 2D   | 3/2 |   4 - 4   |    |            T1619CA,LS |         |
Cl III    |                        |              254.257   |        | 3.3e+07   | D    | 202366.62     -  241685.1?    | 3s2.3p2.(3P).4p  | 4D*  | 7/2 | 3s2.3p2.(3P).4d    | 4D   | 5/2 |   8 - 6   |    |            T1619CA,LS |         |
          |                        |                        |        |           |      |                               |                  |      |     |                    |      |     |           |    |                       |         |
Cl II     |                        |              254.3997  |        | 3.3e+07   | E    | 131756.12     -  171052.55    | 3s2.3p3.(4S*).4p | 3P   | 1   | 3s2.3p3.(4S*).5d   | 3D*  | 1   |   3 - 3   |    |            T1619CA,LS |         |
Cl II     |                        |              254.4809  |        | 2.2e+06   | E    | 131768.66     -  171052.55    | 3s2.3p3.(4S*).4p | 3P   | 2   | 3s2.3p3.(4S*).5d   | 3D*  | 1   |   5 - 3   |    |            T1619CA,LS |         |
Cl II     |                        |              254.4857  |        | 4.3e+07   | D    | 131769.41     -  171052.55    | 3s2.3p3.(4S*).4p | 3P   | 0   | 3s2.3p3.(4S*).5d   | 3D*  | 1   |   1 - 3   |    |            T1619CA,LS |         |
Cl II     |              254.696   |              254.6957  |    260 | 5.8e+07   | D    | 131756.12     -  171006.87    | 3s2.3p3.(4S*).4p | 3P   | 1   | 3s2.3p3.(4S*).5d   | 3D*  | 2   |   3 - 5   |    |            T1619CA,LS |  L1617  |
Cl II     |                        |              254.7771  |        | 1.9e+07   | E    | 131768.66     -  171006.87    | 3s2.3p3.(4S*).4p | 3P   | 2   | 3s2.3p3.(4S*).5d   | 3D*  | 2   |   5 - 5   |    |            T1619CA,LS |         |
          |                        |                        |        |           |      |                               |                  |      |     |                    |      |     |           |    |                       |         |
Cl II     |              254.988   |              254.9881  |    500 | 7.6e+07   | D    | 131768.66     -  170974.41    | 3s2.3p3.(4S*).4p | 3P   | 2   | 3s2.3p3.(4S*).5d   | 3D*  | 3   |   5 - 7   |    |            T1619CA,LS |  L1617  |
Cl III    |                        |              256.245   |        | 7.0e+07   | D    | 205938.06     -  244951.5?    | 3s2.3p2.(3P).4p  | 4S*  | 3/2 | 3s2.3p2.(3P).5s    | 4P   | 1/2 |   4 - 2   |    |            T1619CA,LS |         |
Cl II     |              256.484   |                        |    460 |           |      |                               |                  |      |     |                    |      |     |           |    |                       |  L1617  |
Cl III    |                        |              257.7089  |        | 4.3e+08   | D    | 205036.99     -  243828.85    | 3s2.3p2.(3P).4p  | 2D*  | 3/2 | 3s2.3p2.(3P).4d    | 2F   | 5/2 |   4 - 6   |    |            T1619CA,LS |         |
Cl III    |              258.067   |              258.072   |    600 | 4.7e+08   | D    | 205946.9?     -  244684.18    | 3s2.3p2.(3P).4p  | 2D*  | 5/2 | 3s2.3p2.(3P).4d    | 2F   | 7/2 |   6 - 8   |    |            T1619CA,LS |   L495  |
          |                        |                        |        |           |      |                               |                  |      |     |                    |      |     |           |    |                       |         |
Cl III    |                        |              260.109   |        | 4.6e+08   | D    | 201072.41     -  239506.3?    | 3s2.3p2.(3P).4p  | 4D*  | 1/2 | 3s2.3p2.(3P).4d    | 4F   | 3/2 |   2 - 4   |    |            T1619CA,LS |         |
Cl II     |              260.331   |                        |    320 |           |      |                               |                  |      |     |                    |      |     |           |    |                       |  L1617  |
Cl III    |              260.359   |              260.346   |    500 | 5.0e+08   | D    | 201330.92     -  239729.9?    | 3s2.3p2.(3P).4p  | 4D*  | 3/2 | 3s2.3p2.(3P).4d    | 4F   | 5/2 |   4 - 6   |    |            T1619CA,LS |   L495  |
Cl III    |                        |              260.941   |        | 5.7e+08   | D    | 201763.86     -  240075.2?    | 3s2.3p2.(3P).4p  | 4D*  | 5/2 | 3s2.3p2.(3P).4d    | 4F   | 7/2 |   6 - 8   |    |            T1619CA,LS |         |
Cl III    |                        |              261.690   |        | 6.6e+08   | D    | 202366.62     -  240568.4?    | 3s2.3p2.(3P).4p  | 4D*  | 7/2 | 3s2.3p2.(3P).4d    | 4F   | 9/2 |   8 - 10  |    |            T1619CA,LS |         |
          |                        |                        |        |           |      |                               |                  |      |     |                    |      |     |           |    |                       |         |
Cl III    |                        |              261.871   |        | 1.8e+08   | D    | 201330.92     -  239506.3?    | 3s2.3p2.(3P).4p  | 4D*  | 3/2 | 3s2.3p2.(3P).4d    | 4F   | 3/2 |   4 - 4   |    |            T1619CA,LS |         |
Cl III    |                        |              261.985   |        | 2.1e+06   | E    | 216524.6?     -  254683.4?    | 3s2.3p2.(1D).4p  | 2F*  | 5/2 | 3s2.3p2.(1D).4d    | 2D   | 5/2 |   6 - 6   |    |            T1619CA,LS |         |
Cl III    |                        |              262.471   |        | 4.4e+07   | D    | 216524.6?     -  254612.7?    | 3s2.3p2.(1D).4p  | 2F*  | 5/2 | 3s2.3p2.(1D).4d    | 2D   | 3/2 |   6 - 4   |    |            T1619CA,LS |         |
